"Exerted Attacks deal 50% more Damage if a Warcry Sacrificed Rage Recently","최근 4초 이내 함성으로 격노를 소모한 경우 전력 공격이 주는 피해 50% 증폭"
"is on less than one third life, they will shatter when","생명력이 1/3 이하일 경우, 빙하 망치로 공격하면"
"hit by Glacial Hammer. If striking three times in a","산산이 조각납니다. 연속으로 3회 공격 시 3번째"
"row, the third strike will freeze enemies more easily.","공격은 적을 더 쉽게 동결시킵니다. 철퇴나 셉터,"
"Requires a Mace, Sceptre or Staff.","지팡이가 필요합니다."
"Slams the ground in front of you, creating a wave","Ground Slam. 전방의 지면을 강타하여 대지의 물결을"
"that travels forward and damages enemies with an","일으켜 정면으로 뻗어나가게 합니다. 물결은 적들에게 피해를"
"increased chance to stun. The wave deals more","주고 더욱 증가한 확률로 기절시킵니다. 시전자에게 가까운"
"damage to closer enemies. Requires an Axe, Mace,","적일수록 더 큰 피해를 받습니다. 도끼,철퇴,셉터,지팡이"
"Attacks enemies with a forceful blow, knocking","Heavy Strike. 적들에게 강력한"
"them back. Requires a Mace, Sceptre, Axe, Sword or","일격을 날려 뒤로 밀어냅니다. 철퇴나 셉터,"
"Two-Handed Weapon.","도끼, 검, 양손 무기가 필요합니다."
"Deals chaos damage to a single enemy, dealing","Hexblast. 단일 적에게 카오스 피해를"
"more damage if they are Hexed, then removes the","줍니다. 사술 걸린 적일 경우 더 큰 피해를 주고,"
"Hex with the highest Doom. If a Hex was removed","멸망이 가장 높은 사술을 제거합니다. 이 방법으로"
"this way, also deals area damage to other enemies","사술을 제거하면 대상 주변의 다른 적에게도 범위"
"around the target, boosting damage and removing","피해를 주고, 동일한 방식으로 해당 적에게서"
"Hexes from those enemies in the same way.","사술을 제거하며 더 큰 피해를 줍니다."
"Added Small Passive Skills grant: 10% increased Spell damage","추가된 소형 패시브 스킬 효과: 주문 피해 10% 증가"
"Slam the ground, damaging enemies in an area","Ice Crash. 지면을 강타해 3단계에"
"around the impact in three stages. Enemies take","걸쳐 충격 지점 주위의 적들에게 피해를 줍니다."
"slightly less damage on the second and third stage.","단계가 거듭될수록 적이 받는 피해는 줄어듭니다."
"Works with Swords, Maces, Sceptres, Axes, Staves","검, 철퇴, 셉터, 도끼, 지팡이 착용 혹은"
"and Unarmed.","비무장 상태여야 합니다."
"A chilling circle of ice expands from the caster. If","Ice Nova. 시전자를 중심으로 차가운 얼음이"
"the caster targets near their Frostbolt projectiles,","원형으로 퍼져나갑니다. 마우스 커서의 위치가"
"it will expand from a number of those projectiles","서리 구체 투사체와 가깝다면 투사체를 중심으로"
"instead. If this skill would repeat when cast this","얼음이 퍼져나갑니다. 하나 이상의 서리 화살이"
"way, it will instead expand again from the same","발사된 경우 정해진 횟수만큼 얼음이 연속적으로"
"projectiles after a short delay.","퍼져나가는 효과가 있습니다."
"Fires an arrow that converts some physical damage","Ice Shot. 화살을 발사하여 대상에게 주는 물리"
"to cold on its target and converts all physical","피해의 일부를 냉기 피해로 전환하고, 대상 후방 부채꼴"
"damage to cold in a cone behind that target.","범위에 주는 모든 물리 피해를 냉기 피해로 전환합니다."
"Launches shards of ice in rapid succession. After","Ice Spear. 뾰족한 얼음 조각을"
"travelling a short distance they change to a second","연이어 쏘아냅니다. 쏘아진 얼음 조각은"
"form, which moves much faster and pierces through","잠시 동안 천천히 이동한 후 급가속하여"
"enemies.","적들을 관통합니다."
"Throws a trap that creates a series of icy runic","Ice Trap. 발동될 경우 잇달아"
"explosions when triggered, dealing cold damage to","얼음 룬 폭발을 일으키는 덫을 투척하여,"
"all enemies caught in the blasts.","폭발에 휩쓸린 모든 적에게 냉기 피해를 줍니다."
"Continuously launches a torrent of fire from your","Incinerate. 불길을 내뿜어"
"hand, repeatedly damaging enemies. As you channel","범위 내 적들에게 지속적인 피해를 줍니다."
"this spell longer, the flames spread wider close to","집중 유지를 오래할수록 불꽃이 더 넓게"
"you and spread longer directly in front of you. When","퍼지고, 더 멀리 번집니다. 집중 유지를"
"you stop channelling you release a wave of fire","중단하면 화염 파도를 방출하여 광범위한"
"damage over a wide and long area that will apply a","지역에 강력한 화염 피해를 주고 점화"
"powerful Ignite.","시킵니다."
"Attacks with your weapon, applying a charged","Infernal Blow. 무기로 적을 공격하여"
"debuff to enemies hit by your strike, and an","명중시키면 해당 적에게 충전된 디버프를 걸고,"
"uncharged debuff to any other enemies hit. Upon","명중시킨 다른 적에게는 충전되지 않은 디버프를"
"reaching 6 charges, expiring, or the enemy's death,","겁니다. 충전이 6회가 되거나 해당 적이 죽으면"
"the charged debuff is removed, and it deals damage","충전된 디버프는 만료되어 소멸되고 해당 적과"
"to that and other nearby enemies. Enemies with","주변의 다른 적에게 피해를 줍니다. 적이 죽을"
"either debuff explode when they die, damaging","때마다 각각의 디버프가 폭발하여 근접한 다른 적에게"
"other nearby enemies. Damage from this explosion","피해를 줍니다. 이 폭발로 인한 피해는 반사할 수"
"cannot be reflected. Requires a Sword, Axe, Mace,","없습니다. 검이나 도끼, 철퇴, 셉터, 지팡이"
"Grants a buff which lowers the effect of enemy","전력을 다합니다. 플레이어가 명중시키는 공격에 대한"
"physical damage reduction against your hits.","적의 물리 피해 감소 효과를 낮추는 버프를 부여합니다."
"Fires a projectile from a Wand that causes a series","Kinetic Blast. 마법봉에서 투사체를 발사하여"
"of small explosions surrounding its point of impact,","충돌 지점 주위에 일련의 작은 폭발을 일으킵니다."
"each damaging enemies caught in the area.","각 폭발은 범위 내의 적에게 피해를 줍니다."
"Fire a projectile from your wand that changes","Kinetic Bolt. 마법봉에서 발사된 투사체가"
"direction in a zig-zag pattern at regular intervals or","일정한 간격을 두고 지그재그 모양으로 방향을"
"when hitting enemies. Each time it changes","변경하거나 적을 명중한 뒤 방향을 변경합니다."
"direction, a secondary projectile breaks off, flying","투사체의 방향이 변경될 때마다 부가 투사체가"
"in the direction it changed away from.","갈라져 나와 기존의 방향으로 날아갑니다."
"Added Small Passive Skills grant: 12% increased Physical damage","추가된 소형 패시브 스킬 효과: 물리 피해 12% 증가"
"A bloody scythe swipes across a selected area,","Bloodreap. 피투성이 낫이"
"applying a physical damage over time debuff in","선택한 지역을 휩쓸어, 지속 물리"
"addition to hitting enemies with physical damage. If","피해 디버프를 적용하고 추가로"
"enemies survive and this skill was not triggered, you","적들에게 물리 피해를 줍니다."
"gain a blood charge which raises the damage and","적이 살아남으면 스킬의 피해와"
"cost of the skill. Players can have 5 maximum blood","비용을 증가시키는 피 충전을 1개"
"Draws out your own blood to power a buff for a","Corrupting Fever. 자신의 피를 뽑아서"
"duration, letting this skill inflict the Corrupting","버프를 유지합니다. 이 버프는 공격이 적중된"
"Blood debuff on enemies you hit, dealing physical","적들에게 타락한 피 디버프를 유발하여, 보다 짧은"
"damage over time for a short secondary duration.","별도의 지속시간 동안 지속 물리 피해를 줍니다."
"The buff's duration will be refreshed if you spend","버프가 만료되기 전에 생명력을 일정 기준 이상"
"enough life before it expires.","소모하면 버프의 지속시간이 초기화됩니다."
"Triggering this Skill still requires paying its Cost","이 스킬을 발동하려면 소모해야 함."
"Include in Full DPS:","전체 DPS포함:"
"Releases several tendrils of blood from your","Exsanguinate. 캐릭터로부터 전방"
"character, targeting enemies in a narrow angle in","좁은 각도 내의 적들을 대상으로 하는 여러"
"front of you. The beams deal physical damage and","갈래의 피 촉수를 뻗습니다. 촉수는 적들에게"
"inflict a physical damage over time debuff to","물리 피해를 주고, 3회까지 중첩되는 지속"
"enemies, which can stack up to 3 times. Effects","물리 피해 디버프를 유발합니다. 스킬의"
"which allow skills to chain can apply to these","연쇄를 일으키는 효과를 적용받을 수"
"tendrils.","있습니다."
"Supports any skill with a reservation.","Blood Magic. 점유가 있는 모든 스킬에 적용됩니다."
"Supports attack skills. Cannot support triggered","Bloodthirst. 공격 스킬에 적용됩니다."
"skills, skills which create minions, or skills used by","발동형 스킬, 소환수 생성 스킬이나 토템, 덫,"
"totems, traps or mines.","지뢰 스킬에는 적용되지 않습니다."
"Supported Attacks deal Added Physical Damage with Weapons equal","낮은 생명력 상태일 때 무기 사용 시 보조 대상 공격이 최대 생명력의"
"to {0}% of Maximum Life while on Low Life","{0}%와 동일한 추가 물리 피해를 줌"
"Mana Multiplier","마나 배율"
"Supports any skill that hits enemies.","적을 명중하는 모든 스킬에 적용됩니다."
"Cruelty has a Base Duration of 4 seconds","잔혹의 기본 지속시간 4초"
"Supports any skill. Minions cannot gain the Lifetap","Lifetap. 모든 스킬에 적용됩니다."
"buff.",""
"Applies a buff that protects the lower half of your","Petrified Blood. 생명력의 50% 이하 구간을"
"life, preventing some of the immediate life loss","보호해 주는 버프를 적용합니다. 버프는 적중 피해를 받을 때"
"when damaged by hits and applying the loss over","즉각적인 생명력 손실을 막고, 그 대신 지속적인 손실을"
"time instead. Your life cannot be raised above low","적용합니다. 생명력은 플라스크 외의 수단으로 낮은 생명력"
"life other than by flasks, and while above low life,","상태 위로 올릴 수 없으며, 낮은 생명력 상태 위일 때는"
"skills will cost life as well as mana.","스킬 사용 시에 마나와 함께 생명력도 소모합니다."
"Life Recovery other than Flasks cannot Recover Life to above Low Life","플라스크 외의 생명력 회복이 낮은 생명력 상태 이상으로 생명력을 회복할 수 없음"
"When taking Damage from Hits, {0}% of Life loss below half Life is Prevented, then {1}% of Life loss prevented this way is lost over {2} seconds","피격으로 피해를 받을 때, 생명력 50% 이하 구간에서 손실되는 생명력의 {0}%가 예방되고 이 방식으로 예방된 생명력 손실량의 {1}%가 {2}초 동안 손실됨"
"+{0}% of Life loss prevented this way is lost over {1} seconds","이 방식으로 예방된 생명력 손실량의 +{0}%가 {1}초 동안 손실됨"
"Indigo","남색"
"{0}% increased Recovery per second from Life Leech","생명력 흡수 시 초당 최복량 {0}% 증가"
"Vitality Extraction","활력 추출"
"Damage with Life Cost Skills and Life Flasks","생명력 소모 스킬 및 생명력 플라스크로 피해"
"Thaumaturgical History IV","마석학의 역사 IV"
"Thaumaturgical History III","마석학의 역사 III"
"Thaumaturgical History II","마석학의 역사 II"
"Thaumaturgical History I","마석학의 역사 I"
"{0}% chance to Dodge Attacks while Phasing","차원 능력을 사용하는 동안 {0}%의 확률로 공격 적중 완벽회피"
"(Fanaticism grants Spells you Cast yourself {0}% more Cast Speed, {1}% reduced Cost and {2}% increased Area of Effect)","(광신주의는 직접 시전하는 주문의 시전속도를 {0}% 증폭시키고, 소모량을 {1}% 감소시키며 효과범위를 {2}% 증가시킴)"
"(Armour, Evasion Rating and Energy Shield are the standard Defences)","(방어는 일반적으로 방어도, 회피, 에너지 보호막으로 구성됩니다.)"
"Gain Defiance for {0} seconds on losing Life to an Enemy Hit, no more than once every {1} seconds","적에게 피격되어 생명력을 잃으면 {0}초 동안 저항 획득, 최대 {1}초마다 1번 발동"
"You and nearby Allies deal {0} to {1} added Physical Damage for","자신 및 주변 동료들이 적을 꿰뚫을 때마다"
"Summons a powerful Reaper which uses a variety of","Summon Reaper. 다양한 베기 범위 공격을"
"slashing area attacks. The Reaper's presence","사용하는 강력한 수확자를 소환합니다. 수확자는"
"weakens your other minions, and it will consume","플레이어의 다른 소환수들을 약화하고 그들을"
"them to temporarily empower and heal itself. Using","소모하여 일시적으로 자신을 강화하거나 치유합니다."
"this skill while the Reaper is already summoned","수확자를 소환한 상태에서 이 스킬을 사용하면"
"causes it to dash to the targeted location and","수확자가 목표 지역에 돌진하여 강력한 공격을"
"perform a powerful attack.","수행합니다."
"Damages enemies in an area, applying a debuff for","Absolution. 지역에 있는 적에게 피해를"
"a short duration. If a non-unique enemy dies while","주고 짧은 시간 동안 디버프를 적용합니다."
"affected by the debuff, the enemy's corpse will be","디버프의 영향을 받는 동안 비-고유 적이 죽으면,"
"consumed to summon a Sentinel of Absolution for a","해당 적의 시신을 소모하여 더 긴 2차 지속시간"
"longer secondary duration, or to refresh the","동안 면죄의 파수꾼 1명이 소환됩니다. 이미"
"duration and life of an existing one instead if you","소환된 파수꾼의 수가 최대치라면 기존 파수꾼"
"have the maximum number of them.","1명의 지속시간과 생명력이 초기화됩니다."
"Grants a buff which boosts critical strike chance","전력을 다합니다. 치명타 확률을 올려 주고 공격이"
"and allows attacks to benefit from increases to","주문 피해의 혜택을 받게 하는 버프를 부여"
"Battlemage's Cry Support","전투마법사의 함성 보조"
"Supports spell skills, causing them to be triggered.","주문 스킬을 보조하여 발동시킵니다."
"Cannot support skills used by totems, traps, or","토템, 덫, 지뢰 스킬에는 적용되지 않으며"
"mines. Vaal skills, channelling skills, and skills with","바알 스킬, 집중 유지 스킬, 점유가 있는"
"a reservation cannot be triggered.","스킬은 발동되지 않습니다."
"Throws a trap which, once triggered, swings two","Blade Trap. 발동 시 플레이어가 장착한 단검,"
"copies of your equipped Dagger, Claw or One Handed","클로 또는 한손 검의 복제본 두 개가 원을 그리며"
"Sword around it in a circle, each repeatedly","움직이는 덫을 투척합니다. 각 복제본은 칼날이 스치는"
"damaging enemies they spin through.","적들에게 반복적인 피해를 줍니다."
"Attack enemies with a forceful melee strike that","Boneshatter. 강력한 근접 타격으로 적을 공격하는"
"also hurts you. Successive uses will raise the","스킬로 플레이어 또한 피해를 받습니다. 성공적으로"
"damage dealt both to enemies and you. Stunning an","사용하면 적과 플레이어 모두가 큰 피해를 받습니다."
"enemy with the strike releases a damaging pulse.","이 타격으로 적이 기절하면 파동이 방출되어 피해를 줍니다."
"Requires a Mace, Sceptre, Axe or Staff.","철퇴, 셉터, 도끼, 지팡이가 필요합니다."
"Pulse has {0}% increased Area of Effect per {1} of Stun Duration, up to {2}%","기절 지속시간의 {1}초당 파동의 효과 범위 {0}% 증가, 최대 {2}%"
"Throws an explosive bottle that deals unarmed","Explosive Concoction. 지역에 폭발물을 던져"
"attack damage in an area. Can consume charges","비무장 공격 피해를 줍니다. 루비, 사파이어, 토파즈"
"from your Ruby, Sapphire, and Topaz flasks to add","플라스크의 충전을 소모하여 추가 피해를 줄 수 있습니다."
"further damage. Requires an empty main hand.","주 무기가 비어 있어야 합니다."
"{0} to {1} Added Cold Damage if Charges were consumed from a Sapphire Flask","사파이어 플라스크의 충전 소모 시 {0}~{1} 냉기 피해 추가"
"Fires a single eye projectile which constantly","Eye of Winter. 눈 모양 투사체를 발사합니다."
"releases shard projectiles in a spiral. The shards will","이 투사체는 파편을 나선형으로 지속하여 방출합니다."
"damage enemies they impact, dealing cold damage.","파편은 적에게 닿으면 냉기 피해를 줍니다."
"The eye cannot damage enemies. When the eye","눈 투사체 자체가 적에게 피해를 주는 것은 아닙니다."
"dissipates or collides with terrain, it releases a","눈 투사체는 소멸할 때 또는 지형에 부딪히는 경우,"
"faster spiral of extra shards.","더 빠르게 추가 파편을 나선형으로 방출합니다."
"Lobs an exploding projectile near the targeted","Forbidden Rite. 목표 지점 근처에 폭발하는"
"location, and extra projectiles toward enemies","투사체를 던지고, 주위의 적들에게는 추가 투사체들을"
"around you. The projectiles deal chaos damage","던집니다. 투사체는 플레이어의 생명력과 에너지"
"based on your life and energy shield. Casting this","보호막에 따라 카오스 피해를 줍니다. 이 주문을"
"spell damages you.","시전하면 플레이어 자신이 피해를 받습니다."
"Deals lightning damage based upon your missing","Manabond. 목표 지점 주위의 원형 범위와"
"mana in a circular area around the targeted","4개의 사각형 확장 범위 내에 잃은 마나에 기반하여"
"location, as well as in four rectangular extensions","번개 피해를 줍니다. 사각형 범위의 변 길이는 남아"
"whose lengths depend upon your remaining mana.","있는 마나에 따라 달라집니다."
"Swipe your shield, dealing area damage in three","Shield Crush. 방패를 휘둘러 전방에 세 갈래의"
"waves in front of you. Enemies can be hit by two of","파동으로 범위 피해를 줍니다. 파동이 겹치는 위치에서는"
"the waves where they overlap.","적이 파동 두 개에 명중될 수 있습니다."
"Spin with a sword or axe to deal damage in an area","Rage Vortex. 검 또는 도끼를 들고 빙글빙글 돌아"
"around you. Sacrifices some rage to send a","주위 지역에 피해를 줍니다. 격노를 일부 소모하여 전방으로"
"ragestorm forward. While enemies are inside it, the","격노 폭풍을 내보냅니다. 적들이 폭풍에 휘말리면, 폭풍은"
"ragestorm will slow its movement and repeatedly","속도가 느려지고 플레이어의 공격 속도에 따라 반복적으로"
"deal attack damage based on your attack speed.","공격 피해를 줍니다."
"Regestorm moves with {0}% increased speed","격노 폭풍의 이동 속도 {0}% 증가"
"Throws a spectral copy of your melee weapon. It","Spectral Helix. 장비한 근접 무기의 형태"
"spins around while flying in a large spiral, damaging","복제품을 투척합니다. 무기는 큰 나선을 그리면서"
"enemies in its path, and bouncing if it collides with","날면서 빙글빙글 돌아 경로에 있는 적들에게 피해를"
"walls.","주고, 벽에 충돌하면 튕겨 나옵니다."
"Fires an arrow into the air to land at a targeted","Storm Rain. 공중으로 발사된 화살이"
"location, dealing area damage. The arrow sticks in","목표 지점에 꽂히며 범위 피해를 줍니다."
"the ground where it lands, and periodically fires a","지면에 꽂힌 화살은 주변에 있는 또 다른"
"beam of lightning to another arrow near it, dealing","화살에 주기적으로 번개 광선을 방출하여"
"area damage between them.","해당 화살과의 간격 거리에 범위 피해를 줍니다."
"Each cast of this spell waits for a short duration,","Voltaxic Burst. 이 주문을 시전할"
"releasing a burst of lightning and chaos spell","때마다 짧은 시간 동안 대기합니다. 대기"
"damage in an area around you when that duration","시간이 끝나면 폭발을 일으키며 플레이어"
"ends. Enemies killed by this damage, or shortly","주변에 번개 및 카오스 주문 범위 피해를 줍니다."
"after, will explode. The explosions of the corpses","이 피해로 사망한 적은 폭발합니다."
"are not affected by modifiers to spell damage, and","시체의 폭발은 주문 피해 속성  부여에 영향을"
"cannot be reflected.","받지 않으며, 반사할 수 없습니다."
"Supports strike skills.","타격 스킬에 적용됩니다."
"Cost & Reservation Multiplier","소모 및 점유 배율"
"Supports slam skills, causing them to summon an","Earthbreaker Support. 강타 스킬에 적용되어"
"ancestor totem that uses the skill for you while","선대의 토템을 소환하게 합니다. 이 토템은 플레이어가"
"you're near it. Being near it grants you increased","주변에 있는 동안 플레이어를 위해 스킬을 사용하고"
"area of effect for melee skills.","플레이어의 근접 스킬 효과 범위를 증가시켜줍니다."
"Supports skills that summon ballista totems. Cannot","Focused Ballista. 쇠뇌 토템을 소환하는 스킬에 적용"
"modify the skills of minions.","됩니다. 소환수가 사용하는 스킬에는 적용되지 않습니다."
"Casting once reserves mana to carry a banner","Defiance Banner. 스킬 시전 시, 깃발을"
"which increases the armour and evasion of nearby","지니고 마나를 점유합니다. 깃발은 주변 동료들의"
"allies, and reduces the critical strike chance of","방어도와 회피를 증가시키며, 주변 적들의 치명타"
"nearby enemies. Gains stages over time while","확률을 감소시킵니다. 적 주변에서 깃발을 지니고"
"carrying the banner near enemies. Casting the skill","다니면 점차 깃발 단계가 증가합니다. 스킬을 한번"
"again places the banner, ending the mana","더 사용하면 깃발을 바닥에 꽂게 되며 그 즉시 마나"
"reservation. Once placed, it becomes more powerful","점유가 종료됩니다. 깃발을 바닥에 꽂으면 깃발"
"for each stage gained. You cannot have multiple","단계에 따라 효과가 적용됩니다. 동시에 하나의"
"banners at the same time.","깃발 효과만 적용됩니다."
"Gain {0} Stage every {1} seconds while an Enemy is Nearby","주변에 적이 있는 동안 {1}초마다 {0}단계 획득"
"{0}% less Maximum total Energy Shield Recovery per Second from Leech","흡수 시 초당 총 에너지 보호막 회복량 최대치 {0}% 감폭"
"+{0}% to Global Critical Strike Multiplier","일반 치명타 피해 배율 +{0}%"
"Trigger a Socketed Cold Spell on Melee Critical Strike, with a {0} second Cooldown","근접 치명타 시 장착된 냉기 주문 발동, 재사용 대기시간 {0}초"
"+{0} Intelligence Requirement","지능 요구사항 +{0}"
"No Physical Damage","물리 피해 없음"
"Adds {0} to {1} Cold Damage","냉기 피해 {0}~{1} 추가"
"Adds {0} to {1} Cold Damage to Spells","주문 시전 시 냉기 피해 {0}~{1} 추가"
"{0}% increased Attack Speed","공격 속도 {0}% 증가"
"{0}% increased Critical Strike Chance against Chilled Enemies","냉각된 적에 대한 치명타 확률 {0}% 증가"
"Regenerate {0} Life per second","{0}초마다 생명력 {1} 재생"
"+{0} to Evasion Rating while on Low Life","낮은 생명력 상태일 때 회피 +{0}"
"+{0} to maximum Life","생명력 최대치 +{0}"
"+{0}% to Fire Resistance","화염 저항 +{0}%"
"Regenerate {0}% of Life per second while on Low Life","낮은 생명력 상태일 때 {0}초마다 생명력의 {1}% 재생"
"+{0} to all Attributes","모든 능력치 +{0}"
"-{0} Physical Damage taken from Attack Hits","공격 적중 시 받는 물리 피해 -{0}"
"{0}% Chance to Block Attack Damage","{0}%의 확률로 공격 피해를 막아냄"
"+{0} to maximum Mana","마나 최대치 +{0}"
"{0}% increased maximum Mana","최대 마나 {0}% 증가"
"{0}% increased Mana Regeneration Rate","마나 재생 속도 {0}% 증가"
"Items and Gems have {0}% reduced Attribute Requirements","아이템 및 젬의 능력치 요구사항 {0}% 감소"
